Problem name,Problem category,Problem source,Application,Number of variables,QP dimension,QP norm (order = infty),QP condition (2-norm),QP min,QP max,QP nonzeros,Number of equality constraints,Number of inequality constraints,equality norm (order = infty),inequality norm (order = infty),equality condition number (2-norm),inequality condition number (2-nrom),equality nonzeros,inequality nonzeros,equality max,inequality max,equality min,inequality min
DUAL1,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,85,85,1244.0,\,-43.0,80.0,3558,1,85,85.0,1.0,\,\,85,85,1.0,1.0,1.0,1.0
AUG3DC,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,3873,3873,1.0,\,1.0,1.0,3873,1000,\,9.0,\,\,\,6546,\,1.0,\,-1.0,\
LASER,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,1002,1002,4.333333337000114,\,-1.5,2.66666667,3231,\,1000,\,1.000000001,\,\,\,3000,\,0.666666667,\,0.666666667
DUAL2,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,96,96,1227.0,\,-41.0,100.0,4508,1,96,96.0,1.0,\,\,96,96,1.0,1.0,1.0,1.0
DUAL3,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,111,111,2306.0,\,-68.0,214.0,6108,1,111,111.0,1.0,\,\,111,111,1.0,1.0,1.0,1.0
STCQP2,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,4097,4097,602.0,\,2.0,146.0,26603,2052,4097,12.0,1.0,\,\,13338,4097,1.0,1.0,1.0,1.0
MOSARQP2,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,900,900,20.0855,\,-2.49515,20.0855,945,\,1500,\,8.0,\,\,\,3830,\,4.0,\,4.0
CONT-100,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,10197,10197,0.0001,\,0.0001,0.0001,10197,9801,10197,8.0,1.0,\,\,49005,10197,4.0,1.0,-1.0,1.0
QPCBLEND,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,83,83,20.0,\,2.0,20.0,83,43,114,73.48280000000001,120.3,\,\,298,276,14.61,66.0,-4.44,66.0
DUAL4,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,75,75,1676.0,\,-58.0,238.0,2799,1,75,75.0,1.0,\,\,75,75,1.0,1.0,1.0,1.0
MOSARQP1,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,2500,2500,3.0681176000000003,\,-0.28741,2.71828,2545,\,3200,\,8.0,\,\,\,5922,\,4.0,\,4.0
STCQP1,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,4097,4097,602.0,\,2.0,146.0,26603,2052,4097,12.0,1.0,\,\,13338,4097,1.0,1.0,1.0,1.0
HUES-MOD,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,10000,10000,0.0002,\,0.0002,0.0002,10000,2,10000,0.3333333778178991,1.0,\,\,20000,10000,9.999e-05,1.0,2e-21,1.0
S268,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,5,5,66726.0,\,-24908.0,41818.0,15,\,5,\,32.0,\,\,\,25,\,10.0,\,10.0
LISWET9,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,10002,10002,1.0,\,1.0,1.0,10002,\,10000,\,4.0,\,\,\,30000,\,1.0,\,1.0
LISWET8,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,10002,10002,1.0,\,1.0,1.0,10002,\,10000,\,4.0,\,\,\,30000,\,1.0,\,1.0
HS35MOD,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,3,3,6.0,\,2.0,4.0,5,1,3,1.0,4.0,\,\,1,5,1.0,1.0,1.0,1.0
HS76,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,4,4,3.0,\,-1.0,2.0,6,\,7,\,7.0,\,\,\,14,\,4.0,\,4.0
AUG2DC,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,20200,20200,1.0,\,1.0,1.0,20200,10000,\,4.0,\,\,\,40000,\,1.0,\,-1.0,\
CONT-201,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,40397,40397,5e-05,\,2.5e-05,5e-05,40397,40198,40397,8.0,1.0,\,\,199199,40397,4.0,1.0,-1.0,1.0
CONT-200,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,40397,40397,5e-05,\,2.5e-05,5e-05,40397,39601,40397,8.0,1.0,\,\,198005,40397,4.0,1.0,-1.0,1.0
YAO,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,2002,2002,1.0,\,1.0,1.0,2002,2,2001,1.0,4.0,\,\,2,6001,1.0,1.0,1.0,1.0
KSIP,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,20,20,1.0,\,0.05,1.0,20,\,1001,\,20.0,\,\,\,19898,\,1.0,\,1.0
