Problem name,Problem category,Problem source,Application,Number of variables,QP dimension,QP norm (order = infty),QP condition (2-norm),QP min,QP max,QP nonzeros,Number of equality constraints,Number of inequality constraints,equality norm (order = infty),inequality norm (order = infty),equality condition number (2-norm),inequality condition number (2-nrom),equality nonzeros,inequality nonzeros,equality max,inequality max,equality min,inequality min
test02_17,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.999965,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test02_15,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.999859,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test01_8,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,1.0,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test01_9,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,1.0,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test02_14,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.999719,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test06_17,robotics,MPC Library,Model Predictive Control,186,186,1.00002,\,0.999965,1.00002,186,125,61,7.999999879999999,2.0,\,\,2196,1951,1.0,0.818731,-1.0,-1.0
test04_12,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.998876,1.0,185,125,239,7.999999879999999,2.0,\,\,2196,358,1.0,1.0,-1.0,-1.0
test06_8,robotics,MPC Library,Model Predictive Control,186,186,1.00904,\,0.982172,1.00904,186,125,61,7.999999879999999,2.0,\,\,2196,1951,1.0,0.818731,-1.0,-1.0
test06_9,robotics,MPC Library,Model Predictive Control,186,186,1.00451,\,0.991046,1.00451,186,125,61,7.999999879999999,2.0,\,\,2196,1951,1.0,0.818731,-1.0,-1.0
test04_13,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.999438,1.0,185,125,239,7.999999879999999,2.0,\,\,2196,358,1.0,1.0,-1.0,-1.0
test06_16,robotics,MPC Library,Model Predictive Control,186,186,1.00004,\,0.99993,1.00004,186,125,61,7.999999879999999,2.0,\,\,2196,1951,1.0,0.818731,-1.0,-1.0
test06_14,robotics,MPC Library,Model Predictive Control,186,186,1.00014,\,0.999719,1.00014,186,125,61,7.999999879999999,2.0,\,\,2196,1951,1.0,0.818731,-1.0,-1.0
test03_18,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.999982,1.0,185,125,120,7.999999879999999,1.0,\,\,2196,120,1.0,1.0,-1.0,-1.0
test04_11,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.997754,1.0,185,125,239,7.999999879999999,2.0,\,\,2196,358,1.0,1.0,-1.0,-1.0
test04_9,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.991046,1.0,185,125,239,7.999999879999999,2.0,\,\,2196,358,1.0,1.0,-1.0,-1.0
test04_8,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.982172,1.0,185,125,239,7.999999879999999,2.0,\,\,2196,358,1.0,1.0,-1.0,-1.0
test03_19,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.999991,1.0,185,125,120,7.999999879999999,1.0,\,\,2196,120,1.0,1.0,-1.0,-1.0
test04_10,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.995513,1.0,185,125,239,7.999999879999999,2.0,\,\,2196,358,1.0,1.0,-1.0,-1.0
test06_15,robotics,MPC Library,Model Predictive Control,186,186,1.00007,\,0.999859,1.00007,186,125,61,7.999999879999999,2.0,\,\,2196,1951,1.0,0.818731,-1.0,-1.0
test01_18,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,1.0,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test06_11,robotics,MPC Library,Model Predictive Control,186,186,1.00112,\,0.997754,1.00112,186,125,61,7.999999879999999,2.0,\,\,2196,1951,1.0,0.818731,-1.0,-1.0
test04_14,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.999719,1.0,185,125,239,7.999999879999999,2.0,\,\,2196,358,1.0,1.0,-1.0,-1.0
test04_15,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.999859,1.0,185,125,239,7.999999879999999,2.0,\,\,2196,358,1.0,1.0,-1.0,-1.0
test01_19,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,1.0,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test06_10,robotics,MPC Library,Model Predictive Control,186,186,1.00225,\,0.995513,1.00225,186,125,61,7.999999879999999,2.0,\,\,2196,1951,1.0,0.818731,-1.0,-1.0
test02_9,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.991046,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test06_12,robotics,MPC Library,Model Predictive Control,186,186,1.00056,\,0.998876,1.00056,186,125,61,7.999999879999999,2.0,\,\,2196,1951,1.0,0.818731,-1.0,-1.0
test04_17,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.999965,1.0,185,125,239,7.999999879999999,2.0,\,\,2196,358,1.0,1.0,-1.0,-1.0
test04_16,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.99993,1.0,185,125,239,7.999999879999999,2.0,\,\,2196,358,1.0,1.0,-1.0,-1.0
test06_13,robotics,MPC Library,Model Predictive Control,186,186,1.00028,\,0.999438,1.00028,186,125,61,7.999999879999999,2.0,\,\,2196,1951,1.0,0.818731,-1.0,-1.0
test02_8,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.982172,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test02_5,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.865964,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test01_17,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,1.0,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test03_12,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.998876,1.0,185,125,120,7.999999879999999,1.0,\,\,2196,120,1.0,1.0,-1.0,-1.0
test06_1,robotics,MPC Library,Model Predictive Control,186,186,3.16228,\,0.1,3.16228,186,125,61,7.999999879999999,2.0,\,\,2196,1951,1.0,0.818731,-1.0,-1.0
test04_3,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.562341,1.0,185,125,239,7.999999879999999,2.0,\,\,2196,358,1.0,1.0,-1.0,-1.0
test04_2,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.316228,1.0,185,125,239,7.999999879999999,2.0,\,\,2196,358,1.0,1.0,-1.0,-1.0
test06_0,robotics,MPC Library,Model Predictive Control,186,186,10.0,\,0.01,10.0,186,125,61,7.999999879999999,2.0,\,\,2196,1951,1.0,0.818731,-1.0,-1.0
test03_13,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.999438,1.0,185,125,120,7.999999879999999,1.0,\,\,2196,120,1.0,1.0,-1.0,-1.0
test01_16,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,1.0,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test02_4,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.749894,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test02_6,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.930572,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test01_14,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,1.0,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test04_18,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.999982,1.0,185,125,239,7.999999879999999,2.0,\,\,2196,358,1.0,1.0,-1.0,-1.0
test03_11,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.997754,1.0,185,125,120,7.999999879999999,1.0,\,\,2196,120,1.0,1.0,-1.0,-1.0
test06_2,robotics,MPC Library,Model Predictive Control,186,186,1.77828,\,0.316228,1.77828,186,125,61,7.999999879999999,2.0,\,\,2196,1951,1.0,0.818731,-1.0,-1.0
test04_0,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.01,1.0,185,125,239,7.999999879999999,2.0,\,\,2196,358,1.0,1.0,-1.0,-1.0
test04_1,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.1,1.0,185,125,239,7.999999879999999,2.0,\,\,2196,358,1.0,1.0,-1.0,-1.0
test06_3,robotics,MPC Library,Model Predictive Control,186,186,1.33352,\,0.562341,1.33352,186,125,61,7.999999879999999,2.0,\,\,2196,1951,1.0,0.818731,-1.0,-1.0
test04_19,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.999991,1.0,185,125,239,7.999999879999999,2.0,\,\,2196,358,1.0,1.0,-1.0,-1.0
test03_10,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.995513,1.0,185,125,120,7.999999879999999,1.0,\,\,2196,120,1.0,1.0,-1.0,-1.0
test01_15,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,1.0,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test02_7,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.964662,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test02_3,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.562341,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test06_18,robotics,MPC Library,Model Predictive Control,186,186,1.00001,\,0.999982,1.00001,186,125,61,7.999999879999999,2.0,\,\,2196,1951,1.0,0.818731,-1.0,-1.0
test01_11,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,1.0,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test03_14,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.999719,1.0,185,125,120,7.999999879999999,1.0,\,\,2196,120,1.0,1.0,-1.0,-1.0
test06_7,robotics,MPC Library,Model Predictive Control,186,186,1.01815,\,0.964662,1.01815,186,125,61,7.999999879999999,2.0,\,\,2196,1951,1.0,0.818731,-1.0,-1.0
test04_5,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.865964,1.0,185,125,239,7.999999879999999,2.0,\,\,2196,358,1.0,1.0,-1.0,-1.0
test04_4,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.749894,1.0,185,125,239,7.999999879999999,2.0,\,\,2196,358,1.0,1.0,-1.0,-1.0
test06_6,robotics,MPC Library,Model Predictive Control,186,186,1.03663,\,0.930572,1.03663,186,125,61,7.999999879999999,2.0,\,\,2196,1951,1.0,0.818731,-1.0,-1.0
test03_15,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.999859,1.0,185,125,120,7.999999879999999,1.0,\,\,2196,120,1.0,1.0,-1.0,-1.0
test06_19,robotics,MPC Library,Model Predictive Control,186,186,1.0,\,0.999991,1.0,186,125,61,7.999999879999999,2.0,\,\,2196,1951,1.0,0.818731,-1.0,-1.0
test01_10,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,1.0,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test02_2,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.316228,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test02_0,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.01,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test01_12,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,1.0,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test03_17,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.999965,1.0,185,125,120,7.999999879999999,1.0,\,\,2196,120,1.0,1.0,-1.0,-1.0
test06_4,robotics,MPC Library,Model Predictive Control,186,186,1.15478,\,0.749894,1.15478,186,125,61,7.999999879999999,2.0,\,\,2196,1951,1.0,0.818731,-1.0,-1.0
test04_6,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.930572,1.0,185,125,239,7.999999879999999,2.0,\,\,2196,358,1.0,1.0,-1.0,-1.0
test04_7,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.964662,1.0,185,125,239,7.999999879999999,2.0,\,\,2196,358,1.0,1.0,-1.0,-1.0
test06_5,robotics,MPC Library,Model Predictive Control,186,186,1.07461,\,0.865964,1.07461,186,125,61,7.999999879999999,2.0,\,\,2196,1951,1.0,0.818731,-1.0,-1.0
test03_16,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.99993,1.0,185,125,120,7.999999879999999,1.0,\,\,2196,120,1.0,1.0,-1.0,-1.0
test01_13,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,1.0,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test02_1,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.1,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test02_19,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.999991,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test05_10,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.995513,1.0,185,125,60,7.999999879999999,1.0,\,\,2196,1890,1.0,0.818731,-1.0,1.36035e-06
test05_0,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.01,1.0,185,125,60,7.999999879999999,1.0,\,\,2196,1890,1.0,0.818731,-1.0,1.36035e-06
test01_4,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,1.0,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test03_6,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.930572,1.0,185,125,120,7.999999879999999,1.0,\,\,2196,120,1.0,1.0,-1.0,-1.0
test03_7,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.964662,1.0,185,125,120,7.999999879999999,1.0,\,\,2196,120,1.0,1.0,-1.0,-1.0
test01_5,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,1.0,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test05_1,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.1,1.0,185,125,60,7.999999879999999,1.0,\,\,2196,1890,1.0,0.818731,-1.0,1.36035e-06
test02_18,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.999982,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test05_11,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.997754,1.0,185,125,60,7.999999879999999,1.0,\,\,2196,1890,1.0,0.818731,-1.0,1.36035e-06
test05_13,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.999438,1.0,185,125,60,7.999999879999999,1.0,\,\,2196,1890,1.0,0.818731,-1.0,1.36035e-06
test05_3,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.562341,1.0,185,125,60,7.999999879999999,1.0,\,\,2196,1890,1.0,0.818731,-1.0,1.36035e-06
test01_7,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,1.0,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test03_5,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.865964,1.0,185,125,120,7.999999879999999,1.0,\,\,2196,120,1.0,1.0,-1.0,-1.0
test03_4,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.749894,1.0,185,125,120,7.999999879999999,1.0,\,\,2196,120,1.0,1.0,-1.0,-1.0
test01_6,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,1.0,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test05_2,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.316228,1.0,185,125,60,7.999999879999999,1.0,\,\,2196,1890,1.0,0.818731,-1.0,1.36035e-06
test05_12,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.998876,1.0,185,125,60,7.999999879999999,1.0,\,\,2196,1890,1.0,0.818731,-1.0,1.36035e-06
test05_16,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.99993,1.0,185,125,60,7.999999879999999,1.0,\,\,2196,1890,1.0,0.818731,-1.0,1.36035e-06
test05_6,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.930572,1.0,185,125,60,7.999999879999999,1.0,\,\,2196,1890,1.0,0.818731,-1.0,1.36035e-06
test01_2,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,1.0,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test03_0,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.01,1.0,185,125,120,7.999999879999999,1.0,\,\,2196,120,1.0,1.0,-1.0,-1.0
test03_1,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.1,1.0,185,125,120,7.999999879999999,1.0,\,\,2196,120,1.0,1.0,-1.0,-1.0
test01_3,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,1.0,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test05_7,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.964662,1.0,185,125,60,7.999999879999999,1.0,\,\,2196,1890,1.0,0.818731,-1.0,1.36035e-06
test05_17,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.999965,1.0,185,125,60,7.999999879999999,1.0,\,\,2196,1890,1.0,0.818731,-1.0,1.36035e-06
test05_15,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.999859,1.0,185,125,60,7.999999879999999,1.0,\,\,2196,1890,1.0,0.818731,-1.0,1.36035e-06
test05_5,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.865964,1.0,185,125,60,7.999999879999999,1.0,\,\,2196,1890,1.0,0.818731,-1.0,1.36035e-06
test01_1,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,1.0,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test03_3,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.562341,1.0,185,125,120,7.999999879999999,1.0,\,\,2196,120,1.0,1.0,-1.0,-1.0
test03_2,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.316228,1.0,185,125,120,7.999999879999999,1.0,\,\,2196,120,1.0,1.0,-1.0,-1.0
test01_0,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,1.0,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test05_4,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.749894,1.0,185,125,60,7.999999879999999,1.0,\,\,2196,1890,1.0,0.818731,-1.0,1.36035e-06
test05_14,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.999719,1.0,185,125,60,7.999999879999999,1.0,\,\,2196,1890,1.0,0.818731,-1.0,1.36035e-06
