,Problem name,Problem category,Problem source,Application,Number of variables,QP dimension,QP norm (order = infty),QP condition (2-norm),QP min,QP max,QP nonzeros,Number of equality constraints,Number of inequality constraints,equality norm (order = infty),inequality norm (order = infty),equality condition number (2-norm),inequality condition number (2-nrom),equality nonzeros,inequality nonzeros,equality max,inequality max,equality min,inequality min,Unnamed: 0
19,Cube_floor313,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98792208064296,\,-23.82696750177034,28.46819405439055,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
20,Cube_floor307,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98803581711599,\,-23.82665443914513,28.468194028805765,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
21,Cube_floor461,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98508961363137,\,-23.834678504124003,28.46819468576401,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
22,Cube_floor139,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.9911858475149,\,-23.817874316589087,28.46819331273843,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
23,Cube_floor111,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.9917043580549,\,-23.816408266181,28.468193193455896,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
24,Cube_floor105,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99181522602743,\,-23.8160940123186,28.468193167898264,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
25,Cube_floor5,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99371611140393,\,-23.81079214193309,28.46815190644113,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
26,Cube_floor89,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99211045736098,\,-23.815255829117927,28.468193099747484,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
27,Cube_floor76,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99234988663264,\,-23.81457462010283,28.46819304437901,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
28,Cube_floor62,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99260728616963,\,-23.81384082475206,28.468192984755863,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
29,Cube_floor298,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98820626206845,\,-23.82618477883091,28.46819399042652,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
30,Cube_floor501,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98431518500314,\,-23.836758859168548,28.46819485649096,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
31,Cube_floor267,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98879188305452,\,-23.82456645028571,28.46819385825473,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
32,Cube_floor273,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98867871454934,\,-23.824879748904994,28.46819388383477,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
33,Cube_floor515,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98404324061337,\,-23.837486611391505,28.468194916255268,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
34,Cube_floor265,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98882958695006,\,-23.824462009547663,28.46819384972795,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
35,Cube_floor503,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98427636416477,\,-23.83686283558239,28.46819486502491,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
36,Cube_floor517,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98400435352565,\,-23.837590560242948,28.468194924788662,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
37,Cube_floor271,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98871644685542,\,-23.82477531996413,28.468193875308142,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
38,Cube_floor259,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98894264185856,\,-23.824148663735556,28.468193824149505,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
39,Cube_floor48,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99286422175413,\,-23.813106836904588,28.46819292513718,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
40,Cube_floor74,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.9923866864044,\,-23.814469803982302,28.468193035861074,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
41,Cube_floor60,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99264401965908,\,-23.81373598113071,28.46819297623864,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
42,Cube_floor113,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.9916673831298,\,-23.816513009609608,28.468193201975986,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
43,Cube_floor7,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.9936331491675,\,-23.810955866588422,28.468207107761607,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
44,Cube_floor107,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99177827950578,\,-23.81619876753583,28.468193176417522,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
45,Cube_floor311,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.9879600022702,\,-23.8268631514952,28.468194045862564,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
46,Cube_floor477,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98478029647234,\,-23.835510835109357,28.468194754051122,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
47,Cube_floor463,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98505098211194,\,-23.834782559274327,28.468194694299502,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
48,Cube_floor305,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98807371033917,\,-23.826550077071687,28.46819402027677,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
49,Cube_floor339,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98742823812583,\,-23.828323697414874,28.46819416527079,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
50,Cube_floor488,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98456728955227,\,-23.836082916504044,28.46819480099972,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
51,Cube_floor489,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98454791108685,\,-23.836134917998606,28.468194805268396,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
52,Cube_floor338,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98744726166078,\,-23.828271548335763,28.468194161006807,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
53,Cube_floor462,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98507029905304,\,-23.83473053219041,28.468194690031535,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
54,Cube_floor304,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.9880926533982,\,-23.82649789455907,28.46819401601265,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
55,Cube_floor310,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.9879789595238,\,-23.826810974882036,28.468194041597556,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
56,Cube_floor476,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98479964653416,\,-23.835458821805616,28.468194749781887,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
57,Cube_floor106,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.9917967539493,\,-23.816146390418304,28.46819317215785,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
58,Cube_floor6,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.9940455785545,\,-23.81087881403101,28.46846816185844,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
59,Cube_floor112,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99168587177812,\,-23.81646063838632,28.468193197716133,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
60,Cube_floor61,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99262565409887,\,-23.813788403432252,28.46819298049725,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
61,Cube_floor75,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99236828770051,\,-23.814522212533582,28.468193040120074,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
62,Cube_floor49,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99284588459884,\,-23.813159270991825,28.46819292939557,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
63,Cube_floor258,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98896147605544,\,-23.82409643599243,28.46819381988587,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
64,Cube_floor516,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98402379826734,\,-23.837538586309066,28.46819492052387,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
65,Cube_floor270,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.9887353094494,\,-23.824723104018663,28.468193871044324,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
66,Cube_floor264,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98884843534952,\,-23.82440978770441,28.468193845464736,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
67,Cube_floor502,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.9842957757975,\,-23.836810847868207,28.46819486076213,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
68,Cube_floor248,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98914968790243,\,-23.823574104490127,28.468193777256023,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
69,Cube_floor506,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98421811524418,\,-23.83701879282404,28.468194877835565,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
70,Cube_floor260,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98892380528955,\,-23.824200890495916,28.46819382841181,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
71,Cube_floor274,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98865984485005,\,-23.824931961900297,28.46819388809794,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
72,Cube_floor512,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98410155344212,\,-23.837330680725568,28.46819490344697,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
73,Cube_floor71,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99244186829978,\,-23.81431257243414,28.468193023084588,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
74,Cube_floor65,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.9925521681829,\,-23.813998082819037,28.468192997531858,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
75,Cube_floor59,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99266238285188,\,-23.81368355784645,28.468192971980077,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
76,Cube_floor116,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99161190298852,\,-23.816670117385765,28.468193214755413,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
77,Cube_floor2,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.747780100342,\,-23.867240453792935,28.564693145425576,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
78,Cube_floor102,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.9918706280576,\,-23.81593687212514,28.468193155119422,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
79,Cube_floor328,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.9876373667414,\,-23.82775000345772,28.468194118359218,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
80,Cube_floor472,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98487702314924,\,-23.83525075874235,28.46819473271043,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
81,Cube_floor314,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98790311627866,\,-23.827019675432002,28.468194058654536,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
82,Cube_floor300,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98816840197017,\,-23.82628915467457,28.46819399895451,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
83,Cube_floor466,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.9849930170876,\,-23.83493863462075,28.46819470710268,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
84,Cube_floor499,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98435399632484,\,-23.836654878815807,28.46819484795109,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
85,Cube_floor498,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98437339845734,\,-23.83660288716123,28.468194843684163,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
86,Cube_floor301,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98814946839332,\,-23.826341341121225,28.468194003220898,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
87,Cube_floor467,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98497369067564,\,-23.834990657767634,28.468194711370536,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
88,Cube_floor473,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98485768254056,\,-23.83530277598608,28.46819473697769,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
89,Cube_floor315,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98788414955266,\,-23.8270718481118,28.46819406291925,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
90,Cube_floor329,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98761836687302,\,-23.82780216237105,28.46819412262261,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
91,Cube_floor103,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.9918521630829,\,-23.81598925317235,28.46819315937905,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
92,Cube_floor3,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.96771859839836,\,-23.81784169143545,28.458179646146174,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
93,Cube_floor117,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99159340487242,\,-23.816722484679733,28.468193219015014,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
94,Cube_floor58,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99268074367842,\,-23.81363113358039,28.468192967721556,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
95,Cube_floor64,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.9925705432137,\,-23.81394566444572,28.468192993273192,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
96,Cube_floor70,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99246025752979,\,-23.814260159953772,28.46819301882561,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
97,Cube_floor275,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98864097278016,\,-23.824984173913215,28.468193892361413,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
98,Cube_floor513,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98408211817258,\,-23.837382658598546,28.46819490771317,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
99,Cube_floor507,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98419869419277,\,-23.837070776601767,28.468194882103496,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
100,Cube_floor261,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98890496635406,\,-23.82425311627223,28.46819383267561,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
101,Cube_floor249,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98913087737128,\,-23.823626342064873,28.468193781519126,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
102,Cube_floor511,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98412098630766,\,-23.837278701869675,28.46819489917654,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
103,Cube_floor277,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98860322155048,\,-23.825088594989506,28.468193900889048,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
104,Cube_floor263,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.988867281387,\,-23.82435756487668,28.468193841201987,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
105,Cube_floor505,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98423753392407,\,-23.836966808060517,28.468194873565977,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
106,Cube_floor288,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.988395420556,\,-23.825662840604068,28.468193947789132,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
107,Cube_floor66,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99253379078706,\,-23.81405050020998,28.468193001790656,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
108,Cube_floor72,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.9924234767015,\,-23.81436498393261,28.468193027343265,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
109,Cube_floor99,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99192600878771,\,-23.815779723088678,28.46819314234107,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
110,Cube_floor129,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99137124287415,\,-23.81735081558002,28.46819327013541,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
111,Cube_floor101,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99188909066802,\,-23.81588449009555,28.46819315086022,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
112,Cube_floor115,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99163039873704,\,-23.816617749109483,28.468193210495528,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
113,Cube_floor459,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98512823567881,\,-23.834574445037337,28.468194677227906,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
114,Cube_floor465,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98501234113087,\,-23.834886610489068,28.468194702835845,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
115,Cube_floor303,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98811159409266,\,-23.826445711063414,28.46819401174785,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
116,Cube_floor317,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98784620900827,\,-23.82717619051975,28.468194071448966,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
117,Cube_floor471,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98489636137907,\,-23.835198740515672,28.46819472844145,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
118,Cube_floor316,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98786518046364,\,-23.82712401980716,28.46819406718405,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
119,Cube_floor470,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.9849156972578,\,-23.835146721304604,28.468194724174136,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
120,Cube_floor464,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.9850316627913,\,-23.83483458537409,28.468194698566297,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
121,Cube_floor302,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98813053241992,\,-23.826393526584358,28.46819400748347,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
122,Cube_floor458,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98514754317776,\,-23.834522414017574,28.468194672962326,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
123,Cube_floor114,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99164889211713,\,-23.816565379850715,28.468193206235682,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
124,Cube_floor100,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99190755091098,\,-23.815832107083306,28.468193146600466,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
125,Cube_floor128,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99138976939415,\,-23.817298460075325,28.468193265875424,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
126,Cube_floor98,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99194446429618,\,-23.815727338112033,28.46819313808157,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
127,Cube_floor73,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.9924050827342,\,-23.814417394448284,28.468193031602446,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
128,Cube_floor67,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99251541102564,\,-23.81410291661964,28.468193006049304,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
129,Cube_floor289,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98837651535746,\,-23.82571503885233,28.468193952052363,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
130,Cube_floor262,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98888612505286,\,-23.824305341065806,28.46819383693823,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
131,Cube_floor504,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98425695022928,\,-23.836914822313844,28.46819486929529,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
